date,home_team,away_team,odds_1,odds_x,odds_2,home_goals,away_goals,result,derby,venue_type,comment
2025-08-15,Liverpool,Bournemouth,1.3,6.25,9.75,4,2,H,,,
2025-08-16,Aston Villa,Newcastle,2.38,3.61,3.03,0,0,D,,,
2025-08-16,Brighton,Fulham,1.88,3.84,4.22,1,1,D,,,
2025-08-16,Sunderland,West Ham,3.47,3.26,2.31,3,0,H,,,
2025-08-16,Tottenham,Burnley,1.54,4.25,6.87,3,0,H,,,
2025-08-16,Wolves,Man City,6.55,4.45,1.53,0,4,A,,,
2025-08-17,Chelsea,Crystal Palace,1.86,3.78,4.39,0,0,D,City derby,,
2025-08-17,Nott'm Forest,Brentford,1.93,3.6,4.25,3,1,H,,,
2025-08-17,Man United,Arsenal,3.86,3.68,2.01,0,1,A,,,
2025-08-18,Leeds,Everton,2.47,3.26,3.16,1,0,H,,,
2025-08-22,West Ham,Chelsea,4.5,3.85,1.82,1,5,A,City derby,,
2025-08-23,Man City,Tottenham,1.53,4.8,6,0,2,A,,,
2025-08-23,Bournemouth,Wolves,1.82,3.87,4.49,1,0,H,,,
2025-08-23,Brentford,Aston Villa,3.5,3.59,2.15,1,0,H,,,
2025-08-23,Burnley,Sunderland,2.41,3.19,3.34,2,0,H,,,
2025-08-23,Arsenal,Leeds,1.34,5.5,9.9,5,0,H,,,
2025-08-24,Crystal Palace,Nott'm Forest,2.41,3.33,3.2,1,1,D,,,
2025-08-24,Everton,Brighton,3.02,3.45,2.46,2,0,H,,,
2025-08-24,Fulham,Man United,3.58,3.55,2.14,1,1,D,,,
2025-08-25,Newcastle,Liverpool,2.97,3.76,2.35,2,3,A,,,
2025-08-30,Chelsea,Fulham,1.71,3.85,5.45,2,0,H,City derby,,
2025-08-30,Man United,Burnley,1.41,5.15,7.9,3,2,H,,,
2025-08-30,Sunderland,Brentford,3.17,3.41,2.38,2,1,H,,,
2025-08-30,Tottenham,Bournemouth,1.93,3.83,3.99,0,1,A,,,
2025-08-30,Wolves,Everton,3.38,3.24,2.36,2,3,A,,,
2025-08-30,Leeds,Newcastle,3.72,3.58,2.08,0,0,D,,,
2025-08-31,Brighton,Man City,3.69,3.67,2.06,2,1,H,,,
2025-08-31,Nott'm Forest,West Ham,1.67,4.11,5.24,0,3,A,,,
2025-08-31,Liverpool,Arsenal,2.44,3.39,3.1,1,0,H,,,
2025-08-31,Aston Villa,Crystal Palace,2.16,3.55,3.52,0,3,A,,,
2025-09-13,Arsenal,Nott'm Forest,1.43,4.9,8,3,0,H,,,
2025-09-13,Bournemouth,Brighton,2.43,3.57,2.97,2,1,H,,,
2025-09-13,Crystal Palace,Sunderland,1.71,3.63,5.7,0,0,D,,,
2025-09-13,Everton,Aston Villa,2.66,3.25,2.9,0,0,D,,,
2025-09-13,Fulham,Leeds,2.05,3.43,4.01,1,0,H,,,
2025-09-13,Newcastle,Wolves,1.36,5.15,9.45,1,0,H,,,
2025-09-13,West Ham,Tottenham,3.3,3.6,2.24,0,3,A,,,
2025-09-13,Brentford,Chelsea,4.33,3.81,1.87,2,2,D,City derby,,
2025-09-14,Burnley,Liverpool,9.5,5.7,1.33,0,1,A,,,
2025-09-14,Man City,Man United,1.63,4.36,5.2,3,0,H,City derby,,
2025-09-20,Liverpool,Everton,1.53,4.45,6.65,2,1,H,City derby,,
2025-09-20,Brighton,Tottenham,2.14,3.72,3.43,2,2,D,,,
2025-09-20,Burnley,Nott'm Forest,3.77,3.39,2.14,1,1,D,,,
2025-09-20,West Ham,Crystal Palace,3.25,3.58,2.27,1,2,A,,,
2025-09-20,Wolves,Leeds,3.08,3.13,2.61,1,3,A,,,
2025-09-20,Man United,Chelsea,2.67,3.74,2.59,2,1,H,,,
2025-09-20,Fulham,Brentford,2.19,3.32,3.69,3,1,H,City derby,,
2025-09-21,Bournemouth,Newcastle,2.52,3.24,3.11,0,0,D,,,
2025-09-21,Sunderland,Aston Villa,4.01,3.49,2.03,1,1,D,,,
2025-09-21,Arsenal,Man City,2.05,3.57,3.85,1,1,D,,,
2025-09-27,Brentford,Man United,3.43,3.83,2.1,3,1,H,,,
2025-09-27,Chelsea,Brighton,1.94,3.85,3.93,1,3,A,,,
2025-09-27,Crystal Palace,Liverpool,4.3,3.71,1.9,2,1,H,,,
2025-09-27,Leeds,Bournemouth,2.95,3.32,2.59,2,2,D,,,
2025-09-27,Man City,Burnley,1.19,7.75,16,5,1,H,,,
