date,league,home_team,away_team,closing_ah_home,closing_total_line,ah_home_odds,ah_away_odds,over_odds,under_odds,home_odds,draw_odds,away_odds,neutral_flag,derby_flag,quality_flag
2025-09-15,serie_a,Inter,Roma,-0.75,3.0,1.84,2.12,2.01,1.94,1.63,4.55,4.82,false,false,normal
2025-09-15,serie_a,Inter,Lazio,-1.0,3.0,1.93,2.01,1.98,1.96,1.54,4.77,5.53,false,false,normal
2025-09-15,serie_a,Inter,Atalanta,-1.0,3.25,2.02,1.93,1.97,1.97,1.6,4.84,4.84,false,false,normal
2025-09-15,serie_a,Inter,Genoa,-1.75,3.25,1.95,1.99,1.9,2.04,1.25,6.71,10.78,false,false,normal
2025-09-15,serie_a,Inter,Empoli,-2.0,3.25,2.01,1.93,1.92,2.03,1.2,7.48,13.88,false,false,normal
2025-09-15,serie_a,Roma,Inter,0.25,2.75,2.08,1.87,1.87,2.08,3.23,4.04,2.07,false,false,normal
2025-09-15,serie_a,Roma,Lazio,-0.5,3.0,2.05,1.9,2.03,1.91,2.0,4.15,3.34,false,false,normal
2025-09-15,serie_a,Roma,Atalanta,-0.25,3.25,1.95,2.0,1.97,1.97,2.14,4.3,2.94,false,false,normal
2025-09-15,serie_a,Roma,Genoa,-1.25,3.25,2.11,1.85,2.09,1.86,1.5,5.01,5.79,false,false,normal
2025-09-15,serie_a,Roma,Empoli,-1.25,3.0,1.9,2.04,1.89,2.06,1.4,5.36,7.23,false,false,normal
2025-09-15,serie_a,Lazio,Inter,0.5,2.75,1.98,1.97,1.88,2.07,3.62,4.12,1.92,false,false,normal
2025-09-15,serie_a,Lazio,Roma,0.0,3.0,1.86,2.1,2.07,1.88,2.38,4.02,2.69,false,false,normal
2025-09-15,serie_a,Lazio,Atalanta,0.0,3.25,1.86,2.09,2.02,1.92,2.35,4.23,2.64,false,false,normal
2025-09-15,serie_a,Lazio,Genoa,-1.0,3.0,2.04,1.91,1.93,2.02,1.6,4.67,5.01,false,false,normal
2025-09-15,serie_a,Lazio,Empoli,-1.25,3.0,2.09,1.86,2.01,1.94,1.48,4.94,6.2,false,false,normal
2025-09-15,serie_a,Atalanta,Inter,0.5,3.25,1.87,2.08,2.1,1.86,3.19,4.26,2.03,false,false,normal
2025-09-15,serie_a,Atalanta,Roma,-0.25,3.25,1.93,2.01,1.97,1.97,2.12,4.31,2.98,false,false,normal
2025-09-15,serie_a,Atalanta,Lazio,-0.5,3.25,2.0,1.94,1.99,1.95,1.95,4.38,3.35,false,false,normal
2025-09-15,serie_a,Atalanta,Genoa,-1.25,3.5,1.98,1.96,2.02,1.92,1.46,5.4,5.97,false,false,normal
2025-09-15,serie_a,Atalanta,Empoli,-1.5,3.5,2.0,1.94,2.08,1.87,1.36,5.84,7.54,false,false,normal
2025-09-15,serie_a,Genoa,Inter,1.25,3.0,1.91,2.04,1.92,2.03,6.34,5.07,1.46,false,false,normal
2025-09-15,serie_a,Genoa,Roma,0.5,3.0,2.04,1.91,2.0,1.94,3.74,4.26,1.86,false,false,normal
2025-09-15,serie_a,Genoa,Lazio,0.5,3.0,1.88,2.07,2.07,1.88,3.32,4.11,2.02,false,false,normal
2025-09-15,serie_a,Genoa,Atalanta,0.75,3.25,1.87,2.08,1.96,1.98,3.76,4.52,1.81,false,false,normal
2025-09-15,serie_a,Genoa,Empoli,-0.5,2.75,1.99,1.95,1.95,1.99,1.95,4.05,3.58,false,false,normal
2025-09-15,serie_a,Empoli,Inter,1.5,3.0,1.86,2.09,1.97,1.97,7.93,5.45,1.37,false,false,normal
2025-09-15,serie_a,Empoli,Roma,0.75,2.75,2.02,1.92,1.85,2.11,4.55,4.38,1.69,false,false,normal
2025-09-15,serie_a,Empoli,Lazio,0.5,2.75,2.09,1.86,1.92,2.02,4.0,4.17,1.82,false,false,normal
2025-09-15,serie_a,Empoli,Atalanta,0.75,3.25,2.11,1.85,2.07,1.88,4.62,4.68,1.64,false,false,normal
2025-09-15,serie_a,Empoli,Genoa,0.0,2.75,1.96,1.98,1.99,1.95,2.55,3.87,2.57,false,false,normal
