Match Date,Team Home,1 Odds,X Odds,2 Odds,Away Team,Derby,Venue Type,Home Goals,Away Goals,Result,Comment
2025-08-15,Liverpool,1.30,6.25,9.75,Bournemouth,,,4,2,H,
2025-08-16,Aston Villa,2.38,3.61,3.03,Newcastle,,,0,0,D,
2025-08-16,Brighton,1.88,3.84,4.22,Fulham,,,1,1,D,
2025-08-16,Sunderland,3.47,3.26,2.31,West Ham,,,3,0,H,
2025-08-16,Tottenham,1.54,4.25,6.87,Burnley,,,3,0,H,
2025-08-16,Wolves,6.55,4.45,1.53,Man City,,,0,4,A,
2025-08-17,Chelsea,1.86,3.78,4.39,Crystal Palace,City derby,,0,0,D,
2025-08-17,Nott'm Forest,1.93,3.60,4.25,Brentford,,,3,1,H,
2025-08-17,Man United,3.86,3.68,2.01,Arsenal,,,0,1,A,
2025-08-18,Leeds,2.47,3.26,3.16,Everton,,,1,0,H,
2025-08-22,West Ham,4.50,3.85,1.82,Chelsea,City derby,,1,5,A,
2025-08-23,Man City,1.53,4.80,6.00,Tottenham,,,0,2,A,
2025-08-23,Bournemouth,1.82,3.87,4.49,Wolves,,,1,0,H,
2025-08-23,Brentford,3.50,3.59,2.15,Aston Villa,,,1,0,H,
2025-08-23,Burnley,2.41,3.19,3.34,Sunderland,,,2,0,H,
2025-08-23,Arsenal,1.34,5.50,9.90,Leeds,,,5,0,H,
2025-08-24,Crystal Palace,2.41,3.33,3.20,Nott'm Forest,,,1,1,D,
2025-08-24,Everton,3.02,3.45,2.46,Brighton,,,2,0,H,
2025-08-24,Fulham,3.58,3.55,2.14,Man United,,,1,1,D,
2025-08-25,Newcastle,2.97,3.76,2.35,Liverpool,,,2,3,A,
2025-08-30,Chelsea,1.71,3.85,5.45,Fulham,City derby,,2,0,H,
2025-08-30,Man United,1.41,5.15,7.90,Burnley,,,3,2,H,
2025-08-30,Sunderland,3.17,3.41,2.38,Brentford,,,2,1,H,
2025-08-30,Tottenham,1.93,3.83,3.99,Bournemouth,,,0,1,A,
2025-08-30,Wolves,3.38,3.24,2.36,Everton,,,2,3,A,
2025-08-30,Leeds,3.72,3.58,2.08,Newcastle,,,0,0,D,
2025-08-31,Brighton,3.69,3.67,2.06,Man City,,,2,1,H,
2025-08-31,Nott'm Forest,1.67,4.11,5.24,West Ham,,,0,3,A,
2025-08-31,Liverpool,2.44,3.39,3.10,Arsenal,,,1,0,H,
2025-08-31,Aston Villa,2.16,3.55,3.52,Crystal Palace,,,0,3,A,
2025-09-13,Arsenal,1.43,4.90,8.00,Nott'm Forest,,,3,0,H,
2025-09-13,Bournemouth,2.43,3.57,2.97,Brighton,,,2,1,H,
2025-09-13,Crystal Palace,1.71,3.63,5.70,Sunderland,,,0,0,D,
2025-09-13,Everton,2.66,3.25,2.90,Aston Villa,,,0,0,D,
2025-09-13,Fulham,2.05,3.43,4.01,Leeds,,,1,0,H,
2025-09-13,Newcastle,1.36,5.15,9.45,Wolves,,,1,0,H,
2025-09-13,West Ham,3.30,3.60,2.24,Tottenham,,,0,3,A,
2025-09-13,Brentford,4.33,3.81,1.87,Chelsea,City derby,,2,2,D,
2025-09-14,Burnley,9.50,5.70,1.33,Liverpool,,,0,1,A,
2025-09-14,Man City,1.63,4.36,5.20,Man United,City derby,,3,0,H,
2025-09-20,Liverpool,1.53,4.45,6.65,Everton,City derby,,2,1,H,
2025-09-20,Brighton,2.14,3.72,3.43,Tottenham,,,2,2,D,
2025-09-20,Burnley,3.77,3.39,2.14,Nott'm Forest,,,1,1,D,
2025-09-20,West Ham,3.25,3.58,2.27,Crystal Palace,,,1,2,A,
2025-09-20,Wolves,3.08,3.13,2.61,Leeds,,,1,3,A,
2025-09-20,Man United,2.67,3.74,2.59,Chelsea,,,2,1,H,
2025-09-20,Fulham,2.19,3.32,3.69,Brentford,City derby,,3,1,H,
2025-09-21,Bournemouth,2.52,3.24,3.11,Newcastle,,,0,0,D,
2025-09-21,Sunderland,4.01,3.49,2.03,Aston Villa,,,1,1,D,
2025-09-21,Arsenal,2.05,3.57,3.85,Man City,,,1,1,D,
2025-09-27,Brentford,3.43,3.83,2.10,Man United,,,3,1,H,
2025-09-27,Chelsea,1.94,3.85,3.93,Brighton,,,1,3,A,
2025-09-27,Crystal Palace,4.30,3.71,1.90,Liverpool,,,2,1,H,
2025-09-27,Leeds,2.95,3.32,2.59,Bournemouth,,,2,2,D,
2025-09-27,Man City,1.19,7.75,16.00,Burnley,,,5,1,H,
