mode,league,home,away,ah_mkt,tot_mkt,ah_pred,tot_pred,dah,dtot,o1,ox,o2,p1,px,p2,b1m,bxm,b2m,d1,dx,d2,overround_pct,lh,la,home_days_since_prev,away_days_since_prev,home_d_aging,away_d_aging,d_corr_before_aging,d_corr_after_aging,home_s_aging,away_s_aging,m1,mx,m2,dp1_pp,dpx_pp,dp2_pp
full,La Liga,Alaves,Getafe,-0.25,1.75,-0.25,1.75,0.0,0.0,2.37,2.82,3.9,0.4281920521141045,0.341968059013548,0.2298398888723476,2.2608795493774125,2.8309388210796977,4.212021936576904,-0.10912045062258757,0.010938821079697902,0.31202193657690414,3.296111375831279,1.0946494849582529,0.7274619222580235,81,81,0.3922920489483753,0.3922920489483753,0.1664391751887204,0.06529276506006074,0.3337099635425086,0.3922920489483753,0.4121925220397188,0.34376900591886755,0.24403847204141368,1.5999530074385704,-0.1800946905319567,-1.4198583169066081
full,La Liga,Sevilla,Vallecano,-0.25,2.25,-0.25,2.25,0.0,0.0,2.34,3.28,3.32,0.4389187021424856,0.3006305565185619,0.2604507413389527,2.2046185840077186,3.218729123272359,3.7152834452967323,-0.13538141599228126,-0.061270876727640644,0.3952834452967324,3.3433295408023644,1.3365394219827926,0.9724889206083039,81,81,0.3922920489483753,0.3922920489483753,0.31610656366571155,0.12400609154645204,0.3922920489483753,0.3535533905932738,0.41755562919738115,0.29308782741128336,0.28935654339133554,2.136307294510442,0.7542729107278545,-2.890580205238286
full,La Liga,Espanol,Levante,-0.25,2.25,-0.5,2.5,-0.25,0.25,2.14,3.3,3.8,0.504778333786159,0.26710534515739814,0.22811632105644286,1.9168939773263562,3.622565274196726,4.241724324846121,-0.22310602267364388,0.3225652741967262,0.44172432484612134,3.3477917393313295,1.6418156898644893,1.0345696207027126,81,87,0.3922920489483753,0.36602142398640636,-0.282487405428849,-0.10294934265752041,0.3922920489483753,0.36602142398640636,0.4581367315535266,0.2911786995111432,0.2506845689353303,4.6641602232632415,-2.407335435374508,-2.256824787888745
full,La Liga,Celta,Osasuna,-0.5,2.25,-0.5,2.25,0.0,0.0,2.09,3.49,3.71,0.46674989364452696,0.2870491279958325,0.24620097835964055,2.0709373530714443,3.3674019358268468,3.9261005205210426,-0.019062646928555527,-0.12259806417315344,0.21610052052104267,3.454362978667058,1.456928930853697,0.9938233202933833,81,81,0.3922920489483753,0.3922920489483753,-0.11899682664998998,-0.0466815089448792,0.3922920489483753,0.3922920489483753,0.46920819024481475,0.2740272902051786,0.2567645195500068,-0.24582966002877904,1.3021837790653912,-1.0563541190366232
full,La Liga,Valencia,Betis,0.0,2.5,0.0,2.5,0.0,0.0,2.69,3.24,2.71,0.36674258314463537,0.2861117949507046,0.3471456219046601,2.598367337226408,3.3306279784000004,2.7450495961454857,-0.09163266277359217,0.09062797840000014,0.03504959614548575,4.939287724145314,1.326028330614068,1.2841309700481773,87,92,0.36602142398640636,0.345478219991944,0.22177520572998155,0.08267836898288573,0.36602142398640636,0.345478219991944,0.35579512660213686,0.29121857830178377,0.3529862950960794,1.0947456542498513,-0.5106783351079169,-0.5840673191419343
full,La Liga,Real Madrid,Sociedad,-1.25,3.0,-1.5,3.25,-0.25,0.25,1.386,5.11,7.13,0.7117086605322352,0.17459861716905714,0.11369272229870767,1.328736219749273,5.416268985926514,8.317797797767836,-0.05726378025072698,0.30626898592651397,1.1877977977678364,5.744789216133528,2.5632301560762323,0.9660037420813952,81,81,0.3922920489483753,0.3922920489483753,-0.0847545663490289,-0.033248542490791566,0.3922920489483753,0.3922920489483753,0.7126759210099253,0.17176582225676698,0.11555825673330786,-0.0967260477690024,0.28327949122901597,-0.18655344346001912
full,La Liga,Barcelona,Ath Bilbao,-1.25,3.0,-1.5,3.25,-0.25,0.25,1.406,5.0,6.83,0.7212450147212831,0.17531718980828281,0.10343779547043408,1.3109164771850985,5.3930363298640405,9.1406817941706,-0.0950835228149014,0.39303632986404047,2.3106817941706,5.76504376766378,2.4940662074465387,0.8699438221933553,94,81,0.3375874865420475,0.3922920489483753,0.06360267223518273,0.02246313757296832,0.3375874865420475,0.3922920489483753,0.7020887151705941,0.17614943275824144,0.12176185207116444,1.9156299550688982,-0.08322429499586226,-1.8324056600730358
full,Premier League,Nott'm Forest,Leeds,-0.25,2.5,-0.25,2.25,0.0,-0.25,2.26,3.36,3.23,0.4164765243622585,0.285681631482139,0.2978418441556026,2.2874234751681723,3.3346847458837767,3.1985370671589672,0.027423475168172562,-0.02531525411622315,-0.03146293284103274,4.969444694505665,1.3864886330026451,1.1359411560042467,80,103,0.3968502629920499,0.30425087841764775,-0.5405278862087253,-0.19881889282438608,0.3968502629920499,0.30425087841764775,0.42812760032122316,0.27981080237441697,0.29206159730436,-1.165107595896464,0.587082910772202,0.5780246851242621
full,Premier League,Everton,Crystal Palace,-0.25,2.5,-0.25,2.25,0.0,-0.25,2.15,3.41,3.42,0.4593356550508475,0.2810046390125618,0.2596597059365908,2.0718702796868436,3.3867195055729873,3.6651196560036974,-0.07812972031315635,-0.023280494427012854,0.24511965600369745,5.076907185329027,1.469810737081548,1.0464273789849539,87,87,0.36602142398640636,0.36602142398640636,0.48768836747600536,0.17850439072517332,0.36602142398640636,0.36602142398640636,0.45100451580007567,0.2749362938008292,0.2740591903990952,0.8331139250771835,0.6068345211732606,-1.4399484462504386
full,Premier League,Brentford,Tottenham,0.0,2.75,-0.25,2.75,-0.25,0.0,2.4,3.67,2.77,0.43132733124896766,0.26571725329681184,0.3029554154542206,2.2076934284474463,3.5836533115312985,3.1431638654830807,-0.1923065715525536,-0.08634668846870142,0.37316386548308067,5.0157061024274086,1.5652559740119663,1.2792909646353372,80,85,0.3968502629920499,0.3745767692191704,-0.06495788270478087,-0.01920702557634011,0.3968502629920499,0.3745767692191704,0.4015372728895646,0.25394027590536183,0.3445224512050736,2.979005835940307,1.1776977391450005,-4.156703575085297
full,Premier League,Man City,Bournemouth,-1.25,3.25,-1.25,3.5,0.0,0.25,1.446,5.05,5.97,0.6780846597086685,0.1836708875005874,0.138244452790744,1.3951001349938954,5.150495068489433,6.842921948765463,-0.05089986500610455,0.10049506848943324,0.8729219487654634,5.70869218117207,2.4970873978937522,1.0738592951745083,85,80,0.3745767692191704,0.3968502629920499,-0.20853154996402318,-0.08665968446557992,0.3745767692191704,0.3968502629920499,0.6819713733914661,0.17452979062721982,0.1434988359813141,-0.38867136827975823,0.9141096873367588,-0.5254383190570117
full,Premier League,Brighton,Aston Villa,-0.25,3.0,-0.25,2.75,0.0,-0.25,2.26,3.62,3.02,0.4590131503456169,0.26226240056854233,0.2787244490858407,2.075147369555614,3.631934770162378,3.4174251116298313,-0.18485263044438582,0.011934770162377983,0.3974251116298313,4.984679784341628,1.6283378990162503,1.224871500396161,102,89,0.3077861033362291,0.35766148310881457,0.34541976795073664,0.10681865801032989,0.3077861033362291,0.35766148310881457,0.4280768264229464,0.2578952264483734,0.3140279471286801,3.0936323922670486,0.4367174120168904,-3.5303498042839387
full,Premier League,Newcastle,Liverpool,0.5,3.25,0.25,3.0,-0.25,-0.25,3.42,3.9,1.99,0.32443995239432216,0.2501381351921823,0.42542191241349575,2.931774386570752,3.8026378571948185,2.2358621280546274,-0.48822561342924775,-0.0973621428051814,0.24586212805462737,5.132048004304024,1.4666733594129542,1.7024798783833293,80,80,0.3968502629920499,0.3968502629920499,0.12193143860825667,0.04838852347868564,0.3968502629920499,0.3968502629920499,0.27381104507845355,0.23701275211043776,0.4891762028111088,5.062890731586861,1.3125383081744546,-6.375429039761304
full,Premier League,Fulham,Chelsea,0.25,3.0,0.25,2.75,0.0,-0.25,3.31,3.8,2.06,0.297878651291035,0.26216207486000054,0.4399592738489644,3.1950519530481025,3.6303411433061092,2.1632406069146355,-0.11494804695189753,-0.16965885669389058,0.10324060691463544,5.070959156610311,1.2888151168481712,1.6081401240965079,80,80,0.3968502629920499,0.3968502629920499,0.3094439681657004,0.12280292014786173,0.3968502629920499,0.3968502629920499,0.28399703074569893,0.2441610595893295,0.4718419096649715,1.3881620545336093,1.800101527067105,-3.1882635816007143
full,Bundesliga,Bayern Munich,Stuttgart,-1.75,4.0,-1.75,4.0,0.0,0.0,1.284,6.41,7.77,0.7283187788670936,0.15317628803668257,0.11850493309622359,1.2910164674116686,6.138492772571951,7.9344505960700715,0.007016467411668614,-0.27150722742804945,0.16445059607007195,6.352256832668557,2.9959153551409115,1.2155652997206001,115,95,0.2648657735898238,0.3337099635425086,-0.4875057510335683,-0.13814264171696808,0.2648657735898238,0.3337099635425086,0.7707916313653334,0.12831727119080993,0.10089109744385683,-4.247285249823973,2.4859016845872635,1.7613835652366765
full,Bundesliga,RB Leipzig,M'gladbach,-1.0,3.25,-1.25,3.25,-0.25,0.0,1.531,4.64,5.32,0.6497528218478748,0.19661252075955174,0.15363465739257323,1.456527205083064,4.813440456105552,6.15995555731078,-0.07447279491693592,0.1734404561055527,0.8399555573107795,5.665503033242469,2.397827364573702,1.1153437245910256,95,95,0.3337099635425086,0.3337099635425086,0.4037800655312234,0.13474543094761632,0.3337099635425086,0.3337099635425086,0.6425797985636784,0.19275109557135411,0.16466910586496758,0.7173023284196334,0.3861425188197626,-1.1034448472394347
full,Bundesliga,FC Koln,Hoffenheim,0.25,3.0,0.25,3.0,0.0,0.0,2.98,3.67,2.27,0.29370195199320026,0.24692152482044805,0.45937652318635175,3.247073719576373,3.8622468834941635,2.0760135565711817,0.26707371957637305,0.19224688349416352,-0.19398644342881832,4.8578668192588825,1.427048964768026,1.819574983925031,94,95,0.3375874865420475,0.3337099635425086,-0.38746968559900485,-0.12963170490812273,0.3375874865420475,0.3337099635425086,0.3190183723172606,0.25452316911313433,0.426458458569605,-2.531642032406034,-0.7601644292686283,3.2918064616746734
