league,home,away,mkt_1,mkt_x,mkt_2,ours_1,ours_x,ours_2,d1,dx,d2,overround_pct
La Liga,Alaves,Getafe,2.37,2.82,3.9,2.2608795493774125,2.8309388210796977,4.212021936576904,-0.10912045062258757,0.010938821079697902,0.31202193657690414,3.296111375831279
La Liga,Sevilla,Vallecano,2.34,3.28,3.32,2.2046185840077186,3.218729123272359,3.7152834452967323,-0.13538141599228126,-0.061270876727640644,0.3952834452967324,3.3433295408023644
La Liga,Espanol,Levante,2.14,3.3,3.8,1.9168939773263562,3.622565274196726,4.241724324846121,-0.22310602267364388,0.3225652741967262,0.44172432484612134,3.3477917393313295
La Liga,Celta,Osasuna,2.09,3.49,3.71,2.0709373530714443,3.3674019358268468,3.9261005205210426,-0.019062646928555527,-0.12259806417315344,0.21610052052104267,3.454362978667058
La Liga,Valencia,Betis,2.69,3.24,2.71,2.598367337226408,3.3306279784000004,2.7450495961454857,-0.09163266277359217,0.09062797840000014,0.03504959614548575,4.939287724145314
La Liga,Real Madrid,Sociedad,1.386,5.11,7.13,1.328736219749273,5.416268985926514,8.317797797767836,-0.05726378025072698,0.30626898592651397,1.1877977977678364,5.744789216133528
La Liga,Barcelona,Ath Bilbao,1.406,5.0,6.83,1.3109164771850985,5.3930363298640405,9.1406817941706,-0.0950835228149014,0.39303632986404047,2.3106817941706,5.76504376766378
Premier League,Nott'm Forest,Leeds,2.26,3.36,3.23,2.2874234751681723,3.3346847458837767,3.1985370671589672,0.027423475168172562,-0.02531525411622315,-0.03146293284103274,4.969444694505665
Premier League,Everton,Crystal Palace,2.15,3.41,3.42,2.0718702796868436,3.3867195055729873,3.6651196560036974,-0.07812972031315635,-0.023280494427012854,0.24511965600369745,5.076907185329027
Premier League,Brentford,Tottenham,2.4,3.67,2.77,2.2076934284474463,3.5836533115312985,3.1431638654830807,-0.1923065715525536,-0.08634668846870142,0.37316386548308067,5.0157061024274086
Premier League,Man City,Bournemouth,1.446,5.05,5.97,1.3951001349938954,5.150495068489433,6.842921948765463,-0.05089986500610455,0.10049506848943324,0.8729219487654634,5.70869218117207
Premier League,Brighton,Aston Villa,2.26,3.62,3.02,2.075147369555614,3.631934770162378,3.4174251116298313,-0.18485263044438582,0.011934770162377983,0.3974251116298313,4.984679784341628
Premier League,Newcastle,Liverpool,3.42,3.9,1.99,2.931774386570752,3.8026378571948185,2.2358621280546274,-0.48822561342924775,-0.0973621428051814,0.24586212805462737,5.132048004304024
Premier League,Fulham,Chelsea,3.31,3.8,2.06,3.1950519530481025,3.6303411433061092,2.1632406069146355,-0.11494804695189753,-0.16965885669389058,0.10324060691463544,5.070959156610311
Bundesliga,Bayern Munich,Stuttgart,1.284,6.41,7.77,1.2910164674116686,6.138492772571951,7.9344505960700715,0.007016467411668614,-0.27150722742804945,0.16445059607007195,6.352256832668557
Bundesliga,RB Leipzig,M'gladbach,1.531,4.64,5.32,1.456527205083064,4.813440456105552,6.15995555731078,-0.07447279491693592,0.1734404561055527,0.8399555573107795,5.665503033242469
Bundesliga,FC Koln,Hoffenheim,2.98,3.67,2.27,3.247073719576373,3.8622468834941635,2.0760135565711817,0.26707371957637305,0.19224688349416352,-0.19398644342881832,4.8578668192588825
Bundesliga,Union Berlin,Ein Frankfurt,2.47,3.51,2.78,2.825244432722613,3.563662018938573,2.4101675440994677,0.35524443272261275,0.05366201893857303,-0.36983245590053215,4.947081471125392
Bundesliga,Dortmund,Hamburg,1.327,5.5,8.19,1.3225959731683419,5.3245688717487765,8.80278780745135,-0.004404026831658081,-0.17543112825122353,0.6127878074513511,5.749780655583225
Bundesliga,Freiburg,Werder Bremen,2.01,3.63,3.61,1.8772253235216776,3.704425715875799,4.042782938415539,-0.1327746764783222,0.07442571587579927,0.43278293841553905,5.000284172416469
Serie A,Udinese,Como,4.5,3.52,1.826,5.6655909698078855,3.6155773323675318,1.6642447416333992,1.1655909698078855,0.09557733236753174,-0.16175525836660087,5.395825727151027
Serie A,Parma,Cagliari,2.68,2.99,2.92,2.9206608528943123,3.0125188580199773,2.661614223541441,0.24066085289431216,0.022518858019977106,-0.25838577645855887,5.004824231798355
Serie A,Genoa,Napoli,4.98,3.24,1.84,6.689346656453614,3.3939694317356452,1.6425977659375093,1.7093466564536133,0.15396943173564503,-0.1974022340624908,5.292344902961288
