match_id,match_date,home_team,away_team,ps_id,fid,userbet_home,userbet_away,slug,lineups_url
13070,2024-08-23,M'gladbach,Leverkusen,1593534691,21110384,B. Monchengladbach,Bayer Leverkusen (Ger),bundesliga-b._monchengladbach-bayer_leverkusen_ger,https://userbet.info/lineups_fixture/bundesliga-b._monchengladbach-bayer_leverkusen_ger/21110384/
13071,2024-08-24,Augsburg,Werder Bremen,1593534690,21111333,Augsburg,Werder Bremen,bundesliga-augsburg-werder_bremen,https://userbet.info/lineups_fixture/bundesliga-augsburg-werder_bremen/21111333/
13074,2024-08-24,Mainz,Union Berlin,1593534696,21111336,Mainz,Union Berlin,bundesliga-mainz-union_berlin,https://userbet.info/lineups_fixture/bundesliga-mainz-union_berlin/21111336/
13075,2024-08-24,RB Leipzig,Bochum,1593534689,21111337,RB Leipzig,Bochum,bundesliga-rb_leipzig-bochum,https://userbet.info/lineups_fixture/bundesliga-rb_leipzig-bochum/21111337/
13073,2024-08-24,Hoffenheim,Holstein Kiel,1593534688,21111335,Hoffenheim,Holstein Kiel,bundesliga-hoffenheim-holstein_kiel,https://userbet.info/lineups_fixture/bundesliga-hoffenheim-holstein_kiel/21111335/
13076,2024-08-24,Dortmund,Ein Frankfurt,1593534692,21111338,Dortmund (Ger),Eintracht Frankfurt,bundesliga-dortmund_ger-eintracht_frankfurt,https://userbet.info/lineups_fixture/bundesliga-dortmund_ger-eintracht_frankfurt/21111338/
13072,2024-08-24,Freiburg,Stuttgart,1593534694,21111334,Freiburg,Stuttgart,bundesliga-freiburg-stuttgart,https://userbet.info/lineups_fixture/bundesliga-freiburg-stuttgart/21111334/
13078,2024-08-25,St Pauli,Heidenheim,1593534693,21112574,St. Pauli (Ger),Heidenheim (Ger),bundesliga-st._pauli_ger-heidenheim_ger,https://userbet.info/lineups_fixture/bundesliga-st._pauli_ger-heidenheim_ger/21112574/
13077,2024-08-25,Wolfsburg,Bayern Munich,1593534695,21112573,Wolfsburg,Bayern Munich,bundesliga-wolfsburg-bayern_munich,https://userbet.info/lineups_fixture/bundesliga-wolfsburg-bayern_munich/21112573/
13079,2024-08-30,Union Berlin,St Pauli,1595525844,21114705,Union Berlin,St. Pauli (Ger),bundesliga-union_berlin-st._pauli_ger,https://userbet.info/lineups_fixture/bundesliga-union_berlin-st._pauli_ger/21114705/
13083,2024-08-31,Stuttgart,Mainz,1595514830,21115712,Stuttgart,Mainz,bundesliga-stuttgart-mainz,https://userbet.info/lineups_fixture/bundesliga-stuttgart-mainz/21115712/
13085,2024-08-31,Leverkusen,RB Leipzig,1595514828,21115713,Bayer Leverkusen (Ger),RB Leipzig,bundesliga-bayer_leverkusen_ger-rb_leipzig,https://userbet.info/lineups_fixture/bundesliga-bayer_leverkusen_ger-rb_leipzig/21115713/
13084,2024-08-31,Werder Bremen,Dortmund,1595515933,21115709,Werder Bremen,Dortmund (Ger),bundesliga-werder_bremen-dortmund_ger,https://userbet.info/lineups_fixture/bundesliga-werder_bremen-dortmund_ger/21115709/
13080,2024-08-31,Bochum,M'gladbach,1595525841,21115708,Bochum,B. Monchengladbach,bundesliga-bochum-b._monchengladbach,https://userbet.info/lineups_fixture/bundesliga-bochum-b._monchengladbach/21115708/
13081,2024-08-31,Ein Frankfurt,Hoffenheim,1595525842,21115710,Eintracht Frankfurt,Hoffenheim,bundesliga-eintracht_frankfurt-hoffenheim,https://userbet.info/lineups_fixture/bundesliga-eintracht_frankfurt-hoffenheim/21115710/
13082,2024-08-31,Holstein Kiel,Wolfsburg,1595525827,21115711,Holstein Kiel,Wolfsburg,bundesliga-holstein_kiel-wolfsburg,https://userbet.info/lineups_fixture/bundesliga-holstein_kiel-wolfsburg/21115711/
