n,mae_AH,mae_Tot,n_ah_ge_0_5,n_ah_ge_0_75,n_tot_ge_0_5,bias_AH,bias_Tot,mae_P1,mae_PX,mae_P2,n_1x2,league,bucket,arm
78,0.21153846153846154,0.20192307692307693,16,3,9,-0.09615384615384616,0.11858974358974358,0.04659738467584223,0.020972348746505137,0.04027802717387187,78,La Liga,GW1-4,BASE
78,0.20833333333333334,0.1858974358974359,12,2,9,-0.09294871794871795,-0.00641025641025641,0.048245549911434274,0.020006045751894425,0.04142917885607304,78,La Liga,GW1-4,A
78,0.1762820512820513,0.1891025641025641,9,1,10,-0.08653846153846154,0.022435897435897436,0.04408262056705476,0.019289167673798843,0.038375431969538555,78,La Liga,GW1-4,B
78,0.16666666666666666,0.18269230769230768,10,1,6,-0.07692307692307693,0.0673076923076923,0.04125158034108047,0.01905733525067962,0.03642173704597592,78,La Liga,GW1-4,C
72,0.24305555555555555,0.17708333333333334,17,6,10,-0.06944444444444445,0.09375,0.055548866910812456,0.02150871134955247,0.04979407545828042,72,Ligue 1,GW1-4,BASE
72,0.22916666666666666,0.15625,14,1,3,-0.027777777777777776,-0.07291666666666667,0.05091130628151468,0.01660432886401286,0.04287506406873527,72,Ligue 1,GW1-4,A
72,0.19791666666666666,0.1284722222222222,10,1,2,-0.03125,-0.010416666666666666,0.045787328577915065,0.016477864615385154,0.038992837659659677,72,Ligue 1,GW1-4,B
72,0.19444444444444445,0.13194444444444445,11,3,4,-0.027777777777777776,0.020833333333333332,0.044982433163389915,0.017237138042441067,0.04018654187364919,72,Ligue 1,GW1-4,C
80,0.175,0.1375,13,2,4,-0.0375,0.0875,0.04422763051138987,0.01743558504259056,0.03728109273211887,80,Serie A,GW1-4,BASE
80,0.171875,0.1375,9,0,4,-0.046875,0.03125,0.04015541297728249,0.01697572869466969,0.032674867006206906,80,Serie A,GW1-4,A
80,0.153125,0.13125,11,0,3,-0.040625,0.05,0.038310384175827064,0.016222158323489565,0.031259598224913074,80,Serie A,GW1-4,B
80,0.1625,0.128125,12,0,2,-0.0375,0.053125,0.038542015329574006,0.01595590968514677,0.03185026678313872,80,Serie A,GW1-4,C
