n,mae_AH,mae_Tot,n_ah_ge_0_5,n_ah_ge_0_75,n_tot_ge_0_5,bias_AH,bias_Tot,mae_P1,mae_PX,mae_P2,n_1x2,mae_odds_1,mae_odds_X,mae_odds_2,bias_odds_1,bias_odds_X,bias_odds_2,n_odds,mae_odds_fav,bucket,arm,mode
58,0.28879310344827586,0.2629310344827586,20,6,13,0.004310344827586207,0.22844827586206898,0.060486936151896424,0.027797404956468905,0.06097511844171557,58,0.7518550642361157,0.48527600295524187,1.0832120031173804,-0.03746060414748949,0.2458815351723791,0.29922867454240054,58,0.30563964342377364,GW1,BASE,policy
58,0.21120689655172414,0.1896551724137931,10,0,6,-0.03879310344827586,0.02586206896551724,0.04492048704685512,0.019506576223900892,0.0407672674891731,58,0.4774198340887855,0.32708344710859594,0.7717074803244938,-0.10571399977658079,0.039003472466829135,0.313059486866365,58,0.21047774894858381,GW1,A,policy
58,0.1939655172413793,0.1896551724137931,8,0,7,-0.03017241379310345,0.09482758620689655,0.0423355360795168,0.019910886857510628,0.03991678326177553,58,0.45633487677828843,0.3329533165948527,0.6923593382086748,-0.11887024358695264,0.07295422635243318,0.2371507800334978,58,0.19838121806865477,GW1,B,policy
58,0.21551724137931033,0.21120689655172414,14,1,7,-0.008620689655172414,0.14224137931034483,0.04367486482734395,0.021433116036837764,0.04391103929984917,58,0.5198016952280325,0.36679483575348987,0.7651235063893898,-0.11180079735012559,0.11952627650979905,0.2132102602672217,58,0.20761332176252265,GW1,C,policy
58,0.21551724137931033,0.14224137931034483,10,3,5,-0.08620689655172414,0.07327586206896551,0.05372325371798653,0.02102038350418455,0.040927384246012805,58,0.40262472387957193,0.44388357804351997,1.456160436083944,-0.1537713084473398,0.05508094218329979,0.756392434101393,58,0.24017786327014112,GW2,BASE,policy
58,0.22844827586206898,0.15086206896551724,14,3,5,-0.03879310344827586,-0.01293103448275862,0.051114539298726405,0.019636780807226705,0.0411583307938877,58,0.46082365486471716,0.4632198665785054,1.0982558252684735,-0.13591298806393282,-0.19038864020409788,0.07263768880669638,58,0.22214608688692133,GW2,A,policy
58,0.2025862068965517,0.14224137931034483,13,2,4,-0.03017241379310345,0.01293103448275862,0.04923318142721273,0.019030445269377087,0.038914714429964366,58,0.4246681712924499,0.4485484366039339,1.0155002934934627,-0.15679290606209537,-0.14442949580526426,0.15626868482382394,58,0.2135908881166264,GW2,B,policy
58,0.1939655172413793,0.125,10,2,3,-0.04741379310344827,0.03017241379310345,0.04789474940996379,0.01909994360662325,0.03668416253283629,58,0.3969971763235213,0.43898197366327535,0.9776913024614767,-0.1567687735737638,-0.08777486864533549,0.2890032911389992,58,0.20343594757650169,GW2,C,policy
56,0.15625,0.13392857142857142,7,1,1,-0.07589285714285714,0.044642857142857144,0.03903475878722463,0.014233980098555258,0.034425040183644375,56,0.2833933269834047,0.21731283806078427,0.7899088431147707,-0.04486739557835564,0.14862970603115197,0.5333670301651208,56,0.17360489805763799,GW3,BASE,policy
56,0.19196428571428573,0.14285714285714285,3,0,2,-0.05803571428571429,-0.03571428571428571,0.04356323557214016,0.01438683298381499,0.0380342264277147,56,0.3841114653788642,0.23007455699143226,0.5388024389075018,-0.03936235388719284,0.00030114614159030114,0.1964282021518755,56,0.18791558171038011,GW3,A,policy
56,0.16071428571428573,0.13392857142857142,3,0,2,-0.0625,-0.008928571428571428,0.03933686359524088,0.013503072901012877,0.03472815856450539,56,0.3320633231025179,0.2079029038355765,0.4964382973962396,-0.04297268285309343,0.028920582061675176,0.23170698566371714,56,0.1706896563686884,GW3,B,policy
56,0.14732142857142858,0.11607142857142858,3,1,0,-0.04017857142857143,0.008928571428571428,0.03705873733680739,0.0129956634495247,0.03264078772139585,56,0.2925162724659766,0.19215634170264057,0.5241094437227555,-0.04670968399447702,0.062111755540087625,0.2933113275498566,56,0.16357587819133332,GW3,C,policy
58,0.1724137931034483,0.14655172413793102,9,1,4,-0.11206896551724138,0.05172413793103448,0.04072736825288947,0.016392803561472904,0.032262061464747846,58,0.2984066997766137,0.28044217495604307,0.9267517587900034,-0.13145854644780233,0.18077310021386028,0.743397727803065,58,0.1939327498606147,GW4,BASE,policy
58,0.17672413793103448,0.15517241379310345,8,0,3,-0.09051724137931035,-0.034482758620689655,0.0453728838527578,0.017897658405710795,0.035359802480166194,58,0.31505188679715623,0.2671996483466649,0.5834608410817841,-0.20127248884430193,-0.0026379478124268505,0.29695251190378624,58,0.22521430123352695,GW4,A,policy
58,0.14224137931034483,0.1336206896551724,6,0,2,-0.09051724137931035,-0.01293103448275862,0.03941573826176757,0.016792493981499963,0.030767795127229883,58,0.26858178406897654,0.2503510874619094,0.5731039785407612,-0.20012225575363754,0.03448992781546106,0.38186231876182625,58,0.19251485569430432,GW4,B,policy
58,0.13793103448275862,0.13793103448275862,6,0,2,-0.09482758620689655,0.008620689655172414,0.03712746145015876,0.015954211222868747,0.030688655662862704,58,0.2573186784380345,0.23838305238499047,0.6378116268997246,-0.1848297664675291,0.07601407306083507,0.4739022288648613,58,0.1876856640116963,GW4,C,policy
231,0.14935064935064934,0.12337662337662338,23,2,11,-0.049783549783549784,0.008658008658008658,0.03477626474769376,0.01534521833059614,0.03022116832059063,231,0.30781391762981175,0.2651302818532072,0.8449438340608659,-0.04891578193904427,0.1350951363750088,0.5218383462299216,231,0.155984339703417,GW5-8,BASE,policy
231,0.14935064935064934,0.12337662337662338,23,2,11,-0.049783549783549784,0.008658008658008658,0.03477626474769376,0.01534521833059614,0.03022116832059063,231,0.30781391762981175,0.2651302818532072,0.8449438340608659,-0.04891578193904427,0.1350951363750088,0.5218383462299216,231,0.155984339703417,GW5-8,A,policy
231,0.14935064935064934,0.12337662337662338,23,2,11,-0.049783549783549784,0.008658008658008658,0.03477626474769376,0.01534521833059614,0.03022116832059063,231,0.30781391762981175,0.2651302818532072,0.8449438340608659,-0.04891578193904427,0.1350951363750088,0.5218383462299216,231,0.155984339703417,GW5-8,B,policy
231,0.14935064935064934,0.12337662337662338,23,2,11,-0.049783549783549784,0.008658008658008658,0.03477626474769376,0.01534521833059614,0.03022116832059063,231,0.30781391762981175,0.2651302818532072,0.8449438340608659,-0.04891578193904427,0.1350951363750088,0.5218383462299216,231,0.155984339703417,GW5-8,C,policy
230,0.20869565217391303,0.17173913043478262,46,11,23,-0.06739130434782609,0.1,0.048575325492197306,0.019910074881749666,0.04221455204838133,230,0.43538018525575717,0.3579409598990548,1.0663917334692354,-0.09229835120374151,0.15766924798599036,0.583528896535498,230,0.22881473552778453,GW1-4,BASE,policy
230,0.20217391304347826,0.15978260869565217,35,3,16,-0.05652173913043478,-0.014130434782608696,0.046266086884971865,0.01788713714100116,0.038836825757474734,230,0.40957119067284614,0.3226928129977333,0.7498762481998072,-0.12127157158870479,-0.03876728920849255,0.21997243999983562,230,0.21164297619906586,GW1-4,A,policy
