bucket,arm,n,mae_ah,mae_tot,n_ah_ge_05,flip_ah_n,flip_ah_rate,flip_1x2_rate,mae_odds_1
GW1-2,A_FULL,116,0.28663793103448276,0.25,38,20,0.1724137931034483,0.12931034482758622,0.6640552026049533
GW1-2,B,116,0.20043103448275862,0.25,20,16,0.13793103448275862,0.07758620689655173,0.41228399082033007
GW1-2,C,116,0.28663793103448276,0.18318965517241378,37,20,0.1724137931034483,0.12931034482758622,0.6819002081006765
GW1-2,D_BASE,116,0.20689655172413793,0.18318965517241378,22,16,0.13793103448275862,0.07758620689655173,0.40191587249008753
GW3-4,A_FULL,114,0.17982456140350878,0.1425438596491228,18,16,0.14035087719298245,0.11403508771929824,0.27982189565507004
GW3-4,B,114,0.18421052631578946,0.1425438596491228,11,22,0.19298245614035087,0.11403508771929824,0.3586050239869126
GW3-4,C,114,0.18201754385964913,0.15789473684210525,18,16,0.14035087719298245,0.11403508771929824,0.31748099661753937
GW3-4,D_BASE,114,0.18201754385964913,0.15789473684210525,10,22,0.19298245614035087,0.11403508771929824,0.3494897417764476
GW5-6,A_FULL,115,0.13260869565217392,0.14782608695652175,11,11,0.09565217391304348,0.05217391304347826,0.31859773438619676
GW5-6,B,115,0.16304347826086957,0.14782608695652175,10,14,0.12173913043478261,0.08695652173913043,0.34819388993530354
GW5-6,C,115,0.13260869565217392,0.16304347826086957,11,11,0.09565217391304348,0.05217391304347826,0.3360667846819034
GW5-6,D_BASE,115,0.17173913043478262,0.16304347826086957,12,15,0.13043478260869565,0.08695652173913043,0.34597438317431656
GW7-8,A_FULL,116,0.1724137931034483,0.1206896551724138,14,15,0.12931034482758622,0.0603448275862069,0.3153353078869597
GW7-8,B,116,0.16594827586206898,0.1206896551724138,10,13,0.11206896551724138,0.04310344827586207,0.3259504426832674
GW7-8,C,116,0.1724137931034483,0.15517241379310345,14,15,0.12931034482758622,0.0603448275862069,0.3259876602771435
GW7-8,D_BASE,116,0.16594827586206898,0.15517241379310345,10,13,0.11206896551724138,0.04310344827586207,0.32836934330250384
