n,mae_ah,mae_tot,n_ah_ge_05,n_tot_ge_05,flip_ah_n,flip_ah_rate,flip_1x2_n,flip_1x2_rate,mae_odds_1,mae_odds_x,mae_odds_2,n_1x2,league,season,bucket,arm,harm_D_n,harm_D_mean,harm_D_pct_pos,harm_D_pct_neg,harm_S_n,harm_S_mean,harm_S_pct_pos,harm_S_pct_neg
20,0.2875,0.275,9,4,4,0.2,3,0.15,0.6379774925273883,0.4600204381677805,0.8128102656929121,20,La Liga,2024-25,GW1-2,A_FULL,20,0.1375,0.45,0.05,20,0.0875,0.5,0.15
20,0.15,0.275,1,4,2,0.1,1,0.05,0.331530183680184,0.4146434255326101,0.6052569173041995,20,La Liga,2024-25,GW1-2,B,,,,,,,,
20,0.275,0.1875,8,2,4,0.2,3,0.15,0.6554892756669812,0.37671247679937847,0.8645101893613887,20,La Liga,2024-25,GW1-2,C,,,,,,,,
20,0.15,0.1875,1,2,2,0.1,1,0.05,0.31455194929124525,0.3360142464106686,0.6207040032451189,20,La Liga,2024-25,GW1-2,D_BASE,,,,,,,,
20,,,,,,,,,,,,,La Liga,2024-25,GW1-2,HARM,20,0.1375,0.45,0.05,20,0.0875,0.5,0.15
19,0.09210526315789473,0.15789473684210525,0,0,3,0.15789473684210525,1,0.05263157894736842,0.16112813084904593,0.18394657325165134,0.7127399750248092,19,La Liga,2024-25,GW3-4,A_FULL,19,-0.039473684210526314,0.10526315789473684,0.21052631578947367,19,-0.013157894736842105,0.05263157894736842,0.10526315789473684
19,0.13157894736842105,0.15789473684210525,1,0,4,0.21052631578947367,2,0.10526315789473684,0.26483088569257507,0.20180080231283637,0.6983827750913051,19,La Liga,2024-25,GW3-4,B,,,,,,,,
19,0.09210526315789473,0.17105263157894737,0,0,3,0.15789473684210525,1,0.05263157894736842,0.18163825317408833,0.18406369586486515,0.8339233814199845,19,La Liga,2024-25,GW3-4,C,,,,,,,,
19,0.13157894736842105,0.17105263157894737,1,0,4,0.21052631578947367,2,0.10526315789473684,0.2360522697099783,0.2058725189396568,0.7415549716157254,19,La Liga,2024-25,GW3-4,D_BASE,,,,,,,,
19,,,,,,,,,,,,,La Liga,2024-25,GW3-4,HARM,19,-0.039473684210526314,0.10526315789473684,0.21052631578947367,19,-0.013157894736842105,0.05263157894736842,0.10526315789473684
