series,arm,d_scale,s_scale,league,home,away,ah_mkt,tot_mkt,ah_pred,tot_pred,dah,dtot,abs_dah,abs_dtot,flip_ah,fav_mkt,fav_mod,o1,ox,o2,b1m,bxm,b2m,d1_odds,dx_odds,d2_odds,overround_pct,flip_1x2,d_base,d_dyn_full,d_corr_applied,d_final,d_market,s_base,s_corr_applied,s_final,days_since_home,days_since_away,days_since_min
BOTH,CURRENT,1.0,1.0,Premier League,Nott'm Forest,Leeds,-0.25,2.5,0.25,2.5,0.5,0.0,0.5,0.0,True,H,A,2.26,3.36,3.23,3.209029897922331,3.426956805673398,2.24079741152467,0.9490298979223311,0.06695680567339801,-0.9892025884753299,4.969444694505665,True,0.34055758626343235,-0.19610902338003655,-0.5366666096434689,-0.2762737415367972,0.25,2.4673177077583075,0.16810527368898137,2.635422981447289,83,106,83
BOTH,CURRENT,1.0,1.0,Premier League,Everton,Crystal Palace,-0.25,2.5,-0.75,2.5,-0.5,0.0,0.5,0.0,False,H,H,2.15,3.41,3.42,1.7541589443500096,3.6754786338877126,4.793360740505856,-0.3958410556499903,0.2654786338877124,1.3733607405058557,5.076907185329027,False,0.21400298982738536,0.6968666917967474,0.482863701969362,0.7545324857333281,0.25,2.456262798183097,0.1638698082071074,2.6201326063902046,90,90,90
BOTH,CURRENT,1.0,1.0,Bundesliga,FC Koln,Hoffenheim,0.25,3.0,0.5,3.25,0.25,0.25,0.25,0.25,False,A,A,2.98,3.67,2.27,3.852789120313582,4.10942518315457,1.8325644358966982,0.8727891203135818,0.4394251831545697,-0.43743556410330187,4.8578668192588825,False,-0.22823884077216705,-0.611620929829295,-0.38338208905712795,-0.6664960240052903,-0.25,3.1722305517822287,0.2217526330336287,3.3939831848158573,97,98,97
BOTH,CURRENT,1.0,1.0,Bundesliga,Union Berlin,Ein Frankfurt,0.0,2.75,0.25,3.0,0.25,0.25,0.25,0.25,True,N,A,2.47,3.51,2.78,3.3442393273235695,3.815230290318274,2.047746161549644,0.8742393273235693,0.3052302903182742,-0.7322538384503559,4.947081471125392,True,0.03273656196232294,-0.3862372936052591,-0.41897385556758204,-0.42317890658370916,-0.0,2.797731138748441,0.3705750999216758,3.168306238670117,91,99,91
BOTH,CURRENT,1.0,1.0,Serie A,Udinese,Como,0.5,2.25,1.0,2.5,0.5,0.25,0.5,0.25,False,A,A,4.5,3.52,1.826,7.494919781720893,3.9998350211816787,1.4913704026197483,2.994919781720893,0.47983502118167864,-0.3346295973802518,5.395825727151027,False,-0.64762748104862,-1.061765176423683,-0.41413769537506306,-1.1530337766789494,-0.5,2.500582509240519,0.11434263466828733,2.6149251439088066,90,83,83
BOTH,CURRENT,1.0,1.0,Serie A,Genoa,Napoli,0.5,2.25,1.0,2.25,0.5,0.0,0.5,0.0,False,A,A,4.98,3.24,1.84,9.724186396217927,3.898991944227631,1.4417312783013085,4.744186396217927,0.6589919442276306,-0.39826872169869154,5.292344902961288,False,-0.6442761461016218,-1.1155499626613707,-0.4712738165597491,-1.2115705490853137,-0.5,2.1307561802324626,0.15864111291442445,2.289397293146887,83,90,83
BOTH,DECAY75,0.75,0.75,Premier League,Nott'm Forest,Leeds,-0.25,2.5,0.25,2.5,0.5,0.0,0.5,0.0,True,H,A,2.26,3.36,3.23,2.989689616834192,3.3714773643306057,2.3888829727619703,0.7296896168341922,0.011477364330605866,-0.8411170272380297,4.969444694505665,True,0.34055758626343235,-0.19610902338003655,-0.4024999572326017,-0.17105669402492318,0.25,2.4673177077583075,0.12607895526673607,2.5933966630250436,83,106,83
BOTH,DECAY75,0.75,0.75,Premier League,Everton,Crystal Palace,-0.25,2.5,-0.5,2.5,-0.25,0.0,0.25,0.0,False,H,H,2.15,3.41,3.42,1.8664428697706115,3.545315819821093,4.293167853766924,-0.28355713022938844,0.13531581982109264,0.8731678537669243,5.076907185329027,False,0.21400298982738536,0.6968666917967474,0.36214777647702157,0.6231927761788523,0.25,2.456262798183097,0.12290235615533063,2.579165154338428,90,90,90
BOTH,DECAY75,0.75,0.75,Bundesliga,FC Koln,Hoffenheim,0.25,3.0,0.5,3.25,0.25,0.25,0.25,0.25,False,A,A,2.98,3.67,2.27,3.6073895804878973,4.00714519049312,1.9163854791202952,0.6273895804878973,0.3371451904931204,-0.3536145208797048,4.8578668192588825,False,-0.22823884077216705,-0.611620929829295,-0.2875365667928459,-0.563024198872743,-0.25,3.1722305517822287,0.16631447477522143,3.3385450265574503,97,98,97
BOTH,DECAY75,0.75,0.75,Bundesliga,Union Berlin,Ein Frankfurt,0.0,2.75,0.25,3.0,0.25,0.25,0.25,0.25,True,N,A,2.47,3.51,2.78,3.130960537590569,3.7083360926558036,2.1719427556955866,0.6609605375905687,0.19833609265580376,-0.6080572443044132,4.947081471125392,True,0.03273656196232294,-0.3862372936052591,-0.31423039167568656,-0.3101011422441809,-0.0,2.797731138748441,0.27793132494125694,3.0756624636896976,91,99,91
