segment,n,dD_base,dD_aging,dD_preSFA,sfa_effect,dD_final,dP_dog_A,dP_dog_B,dP_dog_B2,dP_dog_autoC,dP_dog_autoD,dP_x_A,share_neg_A,share_neg_B
All,2409,-0.0751031332091696,-0.020190832292185983,0.027683387885265816,0.02302005240152616,0.050703440286791975,0.2895725339273157,1.1175273682338709,1.1967318503874276,1.4079968796868143,2.214218115985617,-0.3416229138159105,0.4611872146118721,0.14404317144043172
Fav <=1.50,449,-0.237988918283598,-0.11567427560100937,-0.009882801447338722,0.03150366863761713,0.021620867190278413,0.4756427145439124,0.6239751296717857,1.0396126562657744,2.0064367487225483,2.168317837982828,1.5394311427987135,0.42538975501113585,0.2984409799554566
Fav 1.50-1.75,422,-0.14409818523029636,-0.04592243341525925,0.021007924069809905,0.03247753676208476,0.05348546083189466,0.09486833384986211,0.8041987164986808,1.1433394709440987,1.5350254116410535,2.2457878914837575,0.4162310769017943,0.4597156398104265,0.2014218009478673
Fav 1.75-2.00,422,-0.04546916986980412,-0.007653166187323857,0.03698860627839189,0.031598388158708926,0.06858699443710083,0.28111975896504854,1.4265981359343274,1.4677729357976503,1.5071134367385954,2.6213014909413905,-0.4402482087532775,0.45023696682464454,0.08530805687203792
Fav >2.00,1116,0.005314516362623961,0.02321410195812477,0.04180297800942588,0.012786844713630363,0.05458982272305625,0.2915319715347621,1.3177081766362313,1.1776447215725467,1.0817130725563617,2.066814527573162,-1.3477051548905241,0.48028673835125446,0.08243727598566308
Home fav 1.50-2.00,541,-0.05016579420733513,0.005210518158434385,0.062197633958500594,0.028669733210369586,0.09086736716887017,-0.30044139685606513,1.173806003705746,1.3372839101536027,1.0514027318462797,2.48950133387008,-0.2581796948105625,0.5083179297597042,0.1367837338262477
Away fav 1.50-2.00,303,-0.17444795110915545,-0.08392011008581873,-0.030278495592764555,0.03805186353057752,0.007773367937812967,1.0600850523664143,1.0111129495772964,1.2489070635376864,2.359649228011137,2.33363530613762,0.42752470379930163,0.35973597359735976,0.1551155115511551
Away fav 1.50-2.00 Bundesliga,15,-0.17648537456697339,-0.09390085428640543,-0.020399109473822508,0.046081004346650974,0.02568189487282847,0.24024599642240618,0.3984468277605833,1.1074150314704871,1.5983431143966442,1.7673198997836128,0.9553061703882104,0.3333333333333333,0.26666666666666666
Away fav 1.50-2.00 La Liga,67,-0.11140653086364209,-0.014740335269860872,0.036232904965898975,0.0306458977430256,0.06687880270892459,-0.0763718373358819,0.8684506689162506,1.2050467780217524,1.1932964239714519,2.1218083979338993,0.13773311788276502,0.5373134328358209,0.14925373134328357
Away fav 1.50-2.00 Ligue 1,88,-0.23496197148111753,-0.12058937689487759,-0.08023981035240615,0.04373118254904226,-0.0365086278033639,1.8061392173344542,0.9639787840582099,1.3114906913315274,2.9189539475712127,2.139480532265537,0.5220389400490336,0.29545454545454547,0.1590909090909091
Away fav 1.50-2.00 Premier League,25,-0.05207548768144256,-0.049218099923858796,0.029284818092491262,0.028281363037598702,0.05756618113008996,-0.014186138972542258,0.8448133448074586,0.9409589327079771,1.2677119109298594,2.1096741150200775,0.514832126476784,0.56,0.24
Away fav 1.50-2.00 Serie A,108,-0.19229324367899142,-0.1036051890164872,-0.045990919412186054,0.03916524347710021,-0.006825675935085846,1.519753670102529,1.2616098136186509,1.3160585786808374,2.985990405609485,2.7537444156157793,0.43677818436097626,0.25925925925925924,0.12037037037037036
