group,key,n,dD_base,dD_after_aging,dD_final,abs_dD_base,abs_dD_after_aging,abs_dD_final,dS,dP_fav,dP_x,dP_dog,mae_ah,mae_tot,n_ge05_ah
2024-25 / All,2024-25:all,1065,-0.09800140209337699,-0.03129118856680442,0.0414787487989506,0.2397755823673104,0.191008498789747,0.17470621690437113,-0.02114710967999786,-0.12413757484319599,-0.3400356770445057,0.46417325188770076,0.16384976525821596,0.14812206572769954,115
2024-25 / Long break / first (0 new),2024-25:long_break,28,0.027496211549463096,0.029284521961664978,0.0943346488197687,0.18560809431869443,0.2050907523457408,0.19321620819701726,0.07999831635864467,1.414406403454173,-1.045921998732927,-0.368484404721245,0.16964285714285715,0.19642857142857142,5
2024-25 / Warm-up 2 (1 new),2024-25:warmup_2,29,-0.0017606901301396916,-0.011940601208908646,0.055854922642762775,0.1869020056004314,0.207245473611542,0.1970450935560152,0.08576108453821496,0.4313448879069466,-0.5319859078090443,0.10064101990209967,0.1896551724137931,0.14655172413793102,5
2024-25 / Warm-up 3 (2 new),2024-25:warmup_3,30,0.02155738150822035,0.06163470284987669,0.12846421325241156,0.17288530332687904,0.18737800373730631,0.19912197967666548,0.04896639660038505,1.9170782199615606,-0.796576417835153,-1.120501802126409,0.19166666666666668,0.15833333333333333,4
2024-25 / Warm-up 4–5 (3–4 new),2024-25:warmup_4_5,59,-0.0945564218310702,-0.07106914099093642,-0.01485544096989471,0.16650957395973165,0.15654813312438665,0.14602315157688145,0.0156826510658992,-1.1613276510284745,-0.2782771258766684,1.439604776905142,0.1228813559322034,0.13559322033898305,4
2024-25 / Stable (≥5 new),2024-25:stable,918,-0.10920566693226741,-0.03436530426807912,0.04011066558488317,0.2501531632972423,0.19250667635801358,0.17454692371150426,-0.03274501447640373,-0.19240030477615308,-0.2971150824373296,0.48951538721348153,0.164760348583878,0.14705882352941177,97
2025-26 / All,2025-26:all,1344,-0.05695829960672848,-0.011394791047789678,0.058013184657737714,0.23151157135907716,0.18207861003353293,0.1761326050937831,-0.01825046221394413,0.19166360294614998,-0.3428806572396799,0.15121705429352844,0.16313244047619047,0.15755208333333334,162
2025-26 / Long break / first (0 new),2025-26:long_break,29,-0.07910161173899774,-0.0774193959143071,0.0006841656180625633,0.2593926436489809,0.24158753804072194,0.22586865608480056,0.1008191230802231,-1.1995420083853692,-0.3397527330569217,1.5392947414422808,0.20689655172413793,0.19827586206896552,5
2025-26 / Warm-up 2 (1 new),2025-26:warmup_2,29,-0.067282941506192,-0.024078688425273914,0.05145491779708447,0.2449992590175641,0.22826336539328856,0.23318626404295936,0.10131984302453849,-0.20671107838428004,-0.6688762502952845,0.8755873286795631,0.2413793103448276,0.1724137931034483,8
2025-26 / Warm-up 3 (2 new),2025-26:warmup_3,30,-0.045767227833878495,-0.0040823240268872095,0.049447276813239,0.25010421829384033,0.26069426446639715,0.253384577443026,0.029511913394147642,0.625699338942616,-0.6455605190132716,0.019861180070644434,0.25,0.15,8
2025-26 / Warm-up 4–5 (3–4 new),2025-26:warmup_4_5,58,-0.07503519210017613,0.0023108451462099102,0.07233548588622227,0.2090431889995243,0.20659519266922524,0.21161803102438742,0.03614069131449639,0.30115060059853227,-0.9409782127757221,0.6398276121771912,0.2025862068965517,0.16810344827586207,12
2025-26 / Stable (≥5 new),2025-26:stable,1198,-0.055577416235814685,-0.010336155275505039,0.059080809912489284,0.2311323499319552,0.17636446291876043,0.1698950295823324,-0.027856568222574467,0.21881427952667115,-0.29852905751379444,0.07971477798712216,0.15609348914858096,0.15588480801335558,129
