league,season,team_id,team,n_long_break,n_stable,dD_base_lb,dD_base_st,abs_dD_base_lb,abs_dD_base_st,dD_final_lb,dD_final_st,dP_dog_lb,dP_dog_st,mae_ah_lb,mae_ah_st,mae_tot_lb,mae_tot_st
La Liga,2024-25,100,Las Palmas,1,33,-0.1631673973880531,-0.21075136099802227,0.1631673973880531,0.26251105117618684,-0.13179412446928346,-0.07737323091463426,3.54455167360081,1.9679993997189356,0.0,0.18181818181818182,0.0,0.14393939393939395
La Liga,2024-25,21,Alaves,1,31,0.16053032895270825,-0.07381137290500209,0.16053032895270825,0.2179118034931045,0.26886200173836494,0.015011490086263953,-4.424029626223944,1.0148014295072616,0.25,0.14516129032258066,0.0,0.11290322580645161
La Liga,2024-25,22,Ath Bilbao,1,33,0.16030444684965817,0.023265488052378724,0.16030444684965817,0.18492512243643186,0.24308217554969191,0.06546541822635976,-1.371065087654104,0.8870281240724021,0.25,0.18181818181818182,0.25,0.10606060606060606
La Liga,2024-25,23,Ath Madrid,1,32,-0.015705573760348146,0.03206316829739794,0.015705573760348146,0.18788950975566934,-0.004449510708923854,0.15126024850536926,2.166415072329675,-1.5288141637436248,0.0,0.1953125,0.5,0.1015625
La Liga,2024-25,24,Barcelona,1,33,0.16437818540911753,-0.2189335829692821,0.16437818540911753,0.30737650965846375,0.3367958864104873,0.07845486042707694,-4.370258965035159,-0.6518213018854991,0.25,0.19696969696969696,0.25,0.26515151515151514
La Liga,2024-25,25,Betis,1,33,-0.1919512500721901,-0.12537674801278326,0.1919512500721901,0.2392725080023667,-0.49318882952395526,-0.0010460049422046436,13.12378604157991,0.6966745842805003,0.5,0.1590909090909091,0.25,0.17424242424242425
La Liga,2024-25,26,Celta,1,33,0.16053032895270825,-0.10157553511138903,0.16053032895270825,0.20161010706745083,0.26886200173836494,-0.02619555297144734,-4.424029626223944,1.7361706494525906,0.25,0.09090909090909091,0.0,0.15151515151515152
La Liga,2024-25,29,Getafe,1,34,0.16030444684965817,-0.01334881575829071,0.16030444684965817,0.17751151240219548,0.24308217554969191,0.053629716950830256,-1.371065087654104,0.6634467921422655,0.25,0.19117647058823528,0.25,0.19117647058823528
La Liga,2024-25,30,Girona,1,33,-0.1919512500721901,-0.053363762781721884,0.1919512500721901,0.2434212350524079,-0.49318882952395526,0.010585678658023335,13.12378604157991,1.6834592568612727,0.5,0.10606060606060606,0.25,0.15151515151515152
La Liga,2024-25,32,Mallorca,1,33,-0.3878362470733342,0.0011514130928116683,0.3878362470733342,0.20101229951172836,-0.2694198664359604,0.09388062198793568,4.4244042842799205,-0.6490139565131688,0.25,0.15151515151515152,0.5,0.10606060606060606
La Liga,2024-25,33,Osasuna,1,33,0.0734241403167486,-0.06263564582112079,0.0734241403167486,0.1498637606481359,0.04858272922418949,0.04518440819415942,1.7764593670884703,0.21309028634994664,0.0,0.12878787878787878,0.5,0.12878787878787878
La Liga,2024-25,35,Real Madrid,1,33,-0.3878362470733342,-0.005762505856699929,0.3878362470733342,0.24584377628856172,-0.2694198664359604,0.16256284790514539,4.4244042842799205,-1.6109305491349775,0.25,0.16666666666666666,0.5,0.20454545454545456
La Liga,2024-25,36,Sevilla,1,33,-0.1631673973880531,0.0042549899293336775,0.1631673973880531,0.17612928775666464,-0.13179412446928346,0.052464663322114746,3.54455167360081,0.0854922318582622,0.0,0.09848484848484848,0.0,0.13636363636363635
La Liga,2024-25,37,Sociedad,1,33,0.29778150540722514,0.01283394928086714,0.29778150540722514,0.284405544091786,0.36082020420101035,0.09067976742735996,-3.8256413445192523,-0.8014364797875531,0.25,0.12878787878787878,0.25,0.14393939393939395
La Liga,2024-25,38,Valencia,1,33,0.16437818540911753,-0.02414859465231556,0.16437818540911753,0.13566430382295022,0.3367958864104873,0.06403501321097918,-4.370258965035159,-0.025039593178506278,0.25,0.12878787878787878,0.25,0.09848484848484848
La Liga,2024-25,39,Vallecano,1,33,0.29778150540722514,-0.09290439815541825,0.29778150540722514,0.18733336921750815,0.36082020420101035,0.01116348552369883,-3.8256413445192523,0.9636381724253349,0.25,0.10606060606060606,0.25,0.12121212121212122
La Liga,2024-25,40,Villarreal,1,33,-0.015705573760348146,-0.2061495609615408,0.015705573760348146,0.34206312251021553,-0.004449510708923854,0.03304179111668016,2.166415072329675,0.3272173326951764,0.0,0.13636363636363635,0.5,0.20454545454545456
La Liga,2025-26,21,Alaves,1,31,0.5060955682509927,0.005476741080409892,0.5060955682509927,0.1498186028638528,0.4869547301540297,0.0991494796256327,-7.083516050369767,-1.1867169119778778,0.25,0.12903225806451613,0.25,0.14516129032258066
La Liga,2025-26,22,Ath Bilbao,1,33,-0.14404177459682,0.06941595089632337,0.14404177459682,0.2132316987369868,-0.11098936874737286,0.1142732405327577,3.9669941307422714,-0.6612417239632592,0.25,0.19696969696969696,0.25,0.11363636363636363
La Liga,2025-26,23,Ath Madrid,1,32,-0.007767742527042043,-0.16284301097589518,0.007767742527042043,0.2965056217417233,-0.08047209558993718,-0.004733979255903863,2.605273574951092,1.0573653217674381,0.0,0.203125,0.0,0.140625
La Liga,2025-26,24,Barcelona,1,30,-0.6924114403119842,-0.14989603278770144,0.6924114403119842,0.3510150486987306,-0.4089072231516071,0.09933238728630013,3.3768001524374216,-0.33761201117959083,0.25,0.24166666666666667,0.5,0.20833333333333334
La Liga,2025-26,25,Betis,1,31,0.13780338624034294,-0.041054079177002434,0.13780338624034294,0.18702124561935424,0.19740952305533832,0.035185229320208636,-2.4665900446889157,0.11705322783999754,0.25,0.13709677419354838,0.25,0.1774193548387097
La Liga,2025-26,26,Celta,1,33,-0.2217508931518064,0.04014470516571952,0.2217508931518064,0.1838260326322567,0.13930811377472152,0.0780756613694416,-0.6084696743486467,-0.03162720148315695,0.0,0.12121212121212122,0.25,0.09090909090909091
La Liga,2025-26,28,Espanol,1,33,-0.007767742527042043,0.08852973337094698,0.007767742527042043,0.3034812286244416,-0.08047209558993718,0.12684749985462265,2.605273574951092,-1.3807143338691292,0.0,0.15151515151515152,0.0,0.16666666666666666
La Liga,2025-26,29,Getafe,1,33,-0.2217508931518064,0.0783738605823671,0.2217508931518064,0.1791051137368535,0.13930811377472152,0.12885389929550073,-0.6084696743486467,-0.8181380006524617,0.0,0.16666666666666666,0.25,0.12878787878787878
La Liga,2025-26,30,Girona,1,32,0.5608463503494556,-0.09844703105140586,0.5608463503494556,0.30645697853114623,0.36037161225664177,0.04714811935523591,-5.225901480299649,0.36099585907231896,0.25,0.1171875,0.25,0.125
La Liga,2025-26,32,Mallorca,1,32,-0.6924114403119842,-0.03291681457345452,0.6924114403119842,0.19377152645169088,-0.4089072231516071,0.07088620564118697,3.3768001524374216,-0.9629596879641429,0.25,0.1171875,0.5,0.1484375
La Liga,2025-26,33,Osasuna,1,33,-0.1528336754557198,-0.017072276778776322,0.1528336754557198,0.2187410553839225,-0.1685343609416956,0.05990714965020141,2.5067575857186024,-0.11463601039141283,0.0,0.12878787878787878,0.0,0.09848484848484848
La Liga,2025-26,35,Real Madrid,1,32,-0.1528336754557198,0.010050315930076874,0.1528336754557198,0.27162887775552036,-0.1685343609416956,0.17186693541116302,2.5067575857186024,-1.6375181421512106,0.0,0.2734375,0.0,0.21875
La Liga,2025-26,36,Sevilla,1,32,-0.14404177459682,-0.07542984669566337,0.14404177459682,0.23255639267218364,-0.11098936874737286,0.007421248255101294,3.9669941307422714,1.4348647336191866,0.25,0.1796875,0.25,0.125
La Liga,2025-26,37,Sociedad,1,33,-0.20479914548284694,0.02411380874244986,0.20479914548284694,0.22172816456036634,-0.0013228970346235436,0.08788136794335291,1.8123517172941472,-1.052506876524963,0.0,0.13636363636363635,0.0,0.20454545454545456
La Liga,2025-26,38,Valencia,1,32,-0.20479914548284694,-0.049639762566066684,0.20479914548284694,0.22684622929493736,-0.0013228970346235436,0.03060691943346529,1.8123517172941472,0.33721419998188173,0.0,0.1328125,0.0,0.140625
La Liga,2025-26,39,Vallecano,1,32,0.5608463503494556,-0.016202563568827256,0.5608463503494556,0.12411444360806513,0.36037161225664177,0.08520542402236041,-5.225901480299649,-0.42021654157119115,0.25,0.1171875,0.25,0.125
La Liga,2025-26,40,Villarreal,1,32,-0.09010906676609975,-0.08260015764496907,0.09010906676609975,0.20396013288188825,0.16111398267581167,0.05421575337919018,0.7905008316133333,0.1692786322125883,0.25,0.1640625,0.5,0.140625
Ligue 1,2024-25,104,Montpellier,1,29,-0.01291139245835804,-0.3648378940074345,0.01291139245835804,0.4563064285603415,0.005899894350753554,-0.02028155247486274,0.6999759005465456,1.2401635242674545,0.0,0.16379310344827586,0.0,0.14655172413793102
Ligue 1,2024-25,105,Reims,1,29,0.011571302812588724,-0.24391780182669953,0.011571302812588724,0.4094113063576017,0.3262186137889217,-0.06122155813407762,-5.446191406975542,2.503530342794751,0.5,0.20689655172413793,0.5,0.11206896551724138
Ligue 1,2024-25,79,Rennes,1,29,0.20942826194691494,0.00800684389736621,0.20942826194691494,0.2305262892420967,0.04199694232083834,0.14136311263578744,1.2104754842505339,-1.2521294262432998,0.0,0.16379310344827586,0.25,0.1810344827586207
Ligue 1,2024-25,80,Marseille,1,29,-0.07375383716501319,-0.2232176857248268,0.07375383716501319,0.2945985693434604,-0.035717869787956075,-0.014607366203839433,2.176885130039341,0.7879568299161595,0.0,0.1810344827586207,0.0,0.14655172413793102
Ligue 1,2024-25,81,Lens,1,29,-0.31798093985899434,-0.1471560362742002,0.31798093985899434,0.2818004152106908,-0.06620885024726564,0.04170581121922122,3.878586594684097,0.3776854906654882,0.25,0.1724137931034483,0.25,0.12931034482758622
Ligue 1,2024-25,82,Lyon,1,29,0.20942826194691494,-0.38783880412550575,0.20942826194691494,0.4362899216121791,0.04199694232083834,-0.14098551300623186,1.2104754842505339,2.738868590276945,0.0,0.22413793103448276,0.25,0.1810344827586207
Ligue 1,2024-25,83,Monaco,1,29,-0.23139358198873694,-0.19982975597923905,0.23139358198873694,0.26438378000383006,-0.05391521890544948,0.05048155548594236,0.5483644774652768,0.14392008681306978,0.0,0.21551724137931033,0.0,0.19827586206896552
Ligue 1,2024-25,84,Le Havre,1,29,-0.030519777422500116,-0.16045174398896944,0.030519777422500116,0.27917431574922164,-0.10160861001990673,0.09277017364983262,2.914532074764051,-1.0400519002395063,0.0,0.13793103448275862,0.0,0.15517241379310345
Ligue 1,2024-25,85,Nice,1,29,0.49833402211406214,-0.18540048385204766,0.49833402211406214,0.24567030530760395,0.4977730247334687,-0.011898238660657348,-10.810840270708422,0.6164280702171754,0.25,0.1724137931034483,0.25,0.19827586206896552
Ligue 1,2024-25,86,Toulouse,1,29,-0.0582357861322888,-0.13782274043612838,0.0582357861322888,0.28065220767247645,0.007058267467945245,0.03680592948645248,1.459428286224479,0.7736142191850041,0.0,0.15517241379310345,0.25,0.0603448275862069
Ligue 1,2024-25,87,Brest,1,29,-0.07375383716501319,-0.20485156447630914,0.07375383716501319,0.30217406697745763,-0.035717869787956075,-0.03713580708873611,2.176885130039341,1.535971534571251,0.0,0.15517241379310345,0.0,0.1896551724137931
Ligue 1,2024-25,88,Lille,1,29,0.011571302812588724,-0.1075871186301092,0.011571302812588724,0.20359859980395742,0.3262186137889217,0.008595953602618096,-5.446191406975542,1.2288793228351131,0.5,0.1206896551724138,0.5,0.11206896551724138
Ligue 1,2024-25,94,Strasbourg,1,29,-0.01291139245835804,-0.1689540273059572,0.01291139245835804,0.2947329787548715,0.005899894350753554,-0.02267202578868161,0.6999759005465456,1.195111736942889,0.0,0.1896551724137931,0.0,0.1724137931034483
