league,season,match_id,match_date,team_id,team,side,mslb,regime,dD_base,dD_after_aging,dD_final,abs_dD_base,abs_dD_after_aging,abs_dD_final,dS,dP_fav,dP_x,dP_dog,abs_dah,abs_dtot,month
Bundesliga,2025-26,1178,2026-02-01,55,Stuttgart,home,20,stable,-0.29269876791220084,-0.16978157338800215,-0.05202753345767941,0.29269876791220084,0.16978157338800215,0.05202753345767941,-0.1755723830537259,-3.0787746961030815,2.316649856679426,0.7621248394236446,0.25,0.25,2
Bundesliga,2025-26,1178,2026-02-01,46,Freiburg,away,20,stable,-0.29269876791220084,-0.16978157338800215,-0.05202753345767941,0.29269876791220084,0.16978157338800215,0.05202753345767941,-0.1755723830537259,-3.0787746961030815,2.316649856679426,0.7621248394236446,0.25,0.25,2
Bundesliga,2025-26,1179,2026-02-01,43,Dortmund,home,20,stable,-0.06264266767783533,-0.14896503165033836,0.011477967554667456,0.06264266767783533,0.14896503165033836,0.011477967554667456,0.03510833052676032,-2.7703371469467775,1.8354456076800418,0.934891539266719,0.0,0.25,2
Bundesliga,2025-26,1179,2026-02-01,48,Heidenheim,away,20,stable,-0.06264266767783533,-0.14896503165033836,0.011477967554667456,0.06264266767783533,0.14896503165033836,0.011477967554667456,0.03510833052676032,-2.7703371469467775,1.8354456076800418,0.934891539266719,0.0,0.25,2
Bundesliga,2025-26,1180,2026-02-06,56,Union Berlin,home,21,stable,-0.37308786830580903,0.10765692772379104,0.13796328044926565,0.37308786830580903,0.10765692772379104,0.13796328044926565,0.05819359065052243,2.541841257347832,0.060936092472424486,-2.602777349820262,0.25,0.0,2
Bundesliga,2025-26,1180,2026-02-06,44,Ein Frankfurt,away,21,stable,-0.37308786830580903,0.10765692772379104,0.13796328044926565,0.37308786830580903,0.10765692772379104,0.13796328044926565,0.05819359065052243,2.541841257347832,0.060936092472424486,-2.602777349820262,0.25,0.0,2
Bundesliga,2025-26,1181,2026-02-07,46,Freiburg,home,21,stable,0.2893802854135986,0.20671952737461552,0.25045393959617734,0.2893802854135986,0.20671952737461552,0.25045393959617734,0.19443659577052674,5.614655883915464,-2.8404816922856346,-2.774174191629833,0.25,0.25,2
Bundesliga,2025-26,1181,2026-02-07,57,Werder Bremen,away,21,stable,0.2893802854135986,0.20671952737461552,0.25045393959617734,0.2893802854135986,0.20671952737461552,0.25045393959617734,0.19443659577052674,5.614655883915464,-2.8404816922856346,-2.774174191629833,0.25,0.25,2
Bundesliga,2025-26,1182,2026-02-07,48,Heidenheim,home,21,stable,-0.07529205534195671,0.09388438537884775,0.12373145188223844,0.07529205534195671,0.09388438537884775,0.12373145188223844,0.04887998449299635,3.2240907822989273,-0.4926688399563728,-2.7314219423425543,0.25,0.0,2
Bundesliga,2025-26,1182,2026-02-07,47,Hamburg,away,20,stable,-0.07529205534195671,0.09388438537884775,0.12373145188223844,0.07529205534195671,0.09388438537884775,0.12373145188223844,0.04887998449299635,3.2240907822989273,-0.4926688399563728,-2.7314219423425543,0.25,0.0,2
Bundesliga,2025-26,1183,2026-02-07,52,Mainz,home,21,stable,-0.034882399372993644,-0.18512907154497893,-0.06514053668567765,0.034882399372993644,0.18512907154497893,0.06514053668567765,-0.0709007345610213,-3.3463255921389656,0.9233750790587636,2.4229505130802047,0.0,0.25,2
Bundesliga,2025-26,1183,2026-02-07,41,Augsburg,away,21,stable,-0.034882399372993644,-0.18512907154497893,-0.06514053668567765,0.034882399372993644,0.18512907154497893,0.06514053668567765,-0.0709007345610213,-3.3463255921389656,0.9233750790587636,2.4229505130802047,0.0,0.25,2
Bundesliga,2025-26,1184,2026-02-07,54,St Pauli,home,21,stable,-0.4420536568430877,-0.27818732792446543,-0.11989162112020657,0.4420536568430877,0.27818732792446543,0.11989162112020657,-0.08856908924609286,-4.768436130421239,2.365742810145874,2.402693320275373,0.25,0.0,2
Bundesliga,2025-26,1184,2026-02-07,55,Stuttgart,away,21,stable,-0.4420536568430877,-0.27818732792446543,-0.11989162112020657,0.4420536568430877,0.27818732792446543,0.11989162112020657,-0.08856908924609286,-4.768436130421239,2.365742810145874,2.402693320275373,0.25,0.0,2
Bundesliga,2025-26,1185,2026-02-07,58,Wolfsburg,home,21,stable,-0.24831094942758525,-0.3330909756359578,-0.17819238073090626,0.24831094942758525,0.3330909756359578,0.17819238073090626,-0.18980415618659174,-5.691033299917425,2.071600948938573,3.6194323509788573,0.25,0.0,2
Bundesliga,2025-26,1185,2026-02-07,43,Dortmund,away,21,stable,-0.24831094942758525,-0.3330909756359578,-0.17819238073090626,0.24831094942758525,0.3330909756359578,0.17819238073090626,-0.18980415618659174,-5.691033299917425,2.071600948938573,3.6194323509788573,0.25,0.0,2
Bundesliga,2025-26,1186,2026-02-07,51,M'gladbach,home,21,stable,-0.1676627800316835,-0.014881458748232823,0.040312947666061916,0.1676627800316835,0.014881458748232823,0.040312947666061916,0.05612454978862358,-0.5961933558778165,0.037528929763719354,0.5586644261140972,0.0,0.0,2
Bundesliga,2025-26,1186,2026-02-07,50,Leverkusen,away,20,stable,-0.1676627800316835,-0.014881458748232823,0.040312947666061916,0.1676627800316835,0.014881458748232823,0.040312947666061916,0.05612454978862358,-0.5961933558778165,0.037528929763719354,0.5586644261140972,0.0,0.0,2
Bundesliga,2025-26,1187,2026-02-08,45,FC Koln,home,21,stable,-0.07070243696241735,0.030263774171872426,0.07785131124092659,0.07070243696241735,0.030263774171872426,0.07785131124092659,-0.07113519959656989,0.09386069962041832,0.076014057328333,-0.1698747569487291,0.0,0.0,2
Bundesliga,2025-26,1187,2026-02-08,53,RB Leipzig,away,21,stable,-0.07070243696241735,0.030263774171872426,0.07785131124092659,0.07070243696241735,0.030263774171872426,0.07785131124092659,-0.07113519959656989,0.09386069962041832,0.076014057328333,-0.1698747569487291,0.0,0.0,2
Bundesliga,2025-26,1188,2026-02-08,42,Bayern Munich,home,21,stable,-0.040230914090530145,-0.32825138057521164,-0.14900861233921692,0.040230914090530145,0.32825138057521164,0.14900861233921692,0.008730144121759764,-2.8137577213083964,1.3707657485366787,1.4429919727717635,0.25,0.0,2
Bundesliga,2025-26,1188,2026-02-08,49,Hoffenheim,away,21,stable,-0.040230914090530145,-0.32825138057521164,-0.14900861233921692,0.040230914090530145,0.32825138057521164,0.14900861233921692,0.008730144121759764,-2.8137577213083964,1.3707657485366787,1.4429919727717635,0.25,0.0,2
Bundesliga,2025-26,1189,2026-02-13,43,Dortmund,home,22,stable,0.3351480894553467,0.3604873532849955,0.46356946824700596,0.3351480894553467,0.3604873532849955,0.46356946824700596,0.041211223405237085,8.398223461693766,-2.529792104389375,-5.868431357304367,0.5,0.0,2
Bundesliga,2025-26,1189,2026-02-13,52,Mainz,away,22,stable,0.3351480894553467,0.3604873532849955,0.46356946824700596,0.3351480894553467,0.3604873532849955,0.46356946824700596,0.041211223405237085,8.398223461693766,-2.529792104389375,-5.868431357304367,0.5,0.0,2
Bundesliga,2025-26,1190,2026-02-14,44,Ein Frankfurt,home,22,stable,0.33969709450052743,0.024584932767604095,0.04249556057166953,0.33969709450052743,0.024584932767604095,0.04249556057166953,0.12768988913642998,0.6285735944585202,-1.4949013755674534,0.8663277811089498,0.0,0.25,2
Bundesliga,2025-26,1190,2026-02-14,51,M'gladbach,away,22,stable,0.33969709450052743,0.024584932767604095,0.04249556057166953,0.33969709450052743,0.024584932767604095,0.04249556057166953,0.12768988913642998,0.6285735944585202,-1.4949013755674534,0.8663277811089498,0.0,0.25,2
Bundesliga,2025-26,1191,2026-02-14,47,Hamburg,home,21,stable,-0.005564369823573084,0.027598777692706605,0.04116385000059111,0.005564369823573084,0.027598777692706605,0.04116385000059111,0.12278271963892395,0.4979119999543091,-1.0078101046150367,0.5098981046607276,0.0,0.0,2
Bundesliga,2025-26,1191,2026-02-14,56,Union Berlin,away,22,stable,-0.005564369823573084,0.027598777692706605,0.04116385000059111,0.005564369823573084,0.027598777692706605,0.04116385000059111,0.12278271963892395,0.4979119999543091,-1.0078101046150367,0.5098981046607276,0.0,0.0,2
Bundesliga,2025-26,1192,2026-02-14,49,Hoffenheim,home,22,stable,-0.3940819170835692,-0.15048574172963336,-0.04054575130111393,0.3940819170835692,0.15048574172963336,0.04054575130111393,-0.0835132585570264,-2.701856975787742,1.190552952317836,1.5113040234698865,0.0,0.0,2
Bundesliga,2025-26,1192,2026-02-14,46,Freiburg,away,22,stable,-0.3940819170835692,-0.15048574172963336,-0.04054575130111393,0.3940819170835692,0.15048574172963336,0.04054575130111393,-0.0835132585570264,-2.701856975787742,1.190552952317836,1.5113040234698865,0.0,0.0,2
Bundesliga,2025-26,1193,2026-02-14,50,Leverkusen,home,21,stable,-0.034309822543422186,0.2073074079346484,0.31202266944813717,0.034309822543422186,0.2073074079346484,0.31202266944813717,-0.03528266934889812,4.535657963702134,-0.35886466288643226,-4.176793300815729,0.25,0.0,2
Bundesliga,2025-26,1193,2026-02-14,54,St Pauli,away,22,stable,-0.034309822543422186,0.2073074079346484,0.31202266944813717,0.034309822543422186,0.2073074079346484,0.31202266944813717,-0.03528266934889812,4.535657963702134,-0.35886466288643226,-4.176793300815729,0.25,0.0,2
Bundesliga,2025-26,1194,2026-02-14,57,Werder Bremen,home,22,stable,0.2716592123784207,0.17028343455088413,0.344885220425162,0.2716592123784207,0.17028343455088413,0.344885220425162,0.042229980340700024,3.2098892746104,-1.0457440355952614,-2.1641452390151708,0.5,0.0,2
Bundesliga,2025-26,1194,2026-02-14,42,Bayern Munich,away,22,stable,0.2716592123784207,0.17028343455088413,0.344885220425162,0.2716592123784207,0.17028343455088413,0.344885220425162,0.042229980340700024,3.2098892746104,-1.0457440355952614,-2.1641452390151708,0.5,0.0,2
Bundesliga,2025-26,1195,2026-02-14,55,Stuttgart,home,22,stable,-0.2798645390813892,-0.3005505426240723,-0.1507914530785941,0.2798645390813892,0.3005505426240723,0.1507914530785941,-0.022503626659111653,-4.927656085677457,2.274540176846021,2.6531159088314245,0.0,0.0,2
Bundesliga,2025-26,1195,2026-02-14,45,FC Koln,away,22,stable,-0.2798645390813892,-0.3005505426240723,-0.1507914530785941,0.2798645390813892,0.3005505426240723,0.1507914530785941,-0.022503626659111653,-4.927656085677457,2.274540176846021,2.6531159088314245,0.0,0.0,2
Bundesliga,2025-26,1196,2026-02-15,41,Augsburg,home,22,stable,0.1250739292440901,0.16386508456334103,0.2183741580555788,0.1250739292440901,0.16386508456334103,0.2183741580555788,-0.19025647503379162,3.5030606659337216,-0.01576307525734677,-3.4872975906764054,0.25,0.0,2
Bundesliga,2025-26,1196,2026-02-15,48,Heidenheim,away,22,stable,0.1250739292440901,0.16386508456334103,0.2183741580555788,0.1250739292440901,0.16386508456334103,0.2183741580555788,-0.19025647503379162,3.5030606659337216,-0.01576307525734677,-3.4872975906764054,0.25,0.0,2
Bundesliga,2025-26,1197,2026-02-15,53,RB Leipzig,home,22,stable,-0.23945656188143127,-0.08021582895818624,0.024790816962032114,0.23945656188143127,0.08021582895818624,0.024790816962032114,-0.2539643227564379,-1.447048533373374,1.334573150227547,0.1124753831458214,0.25,0.25,2
Bundesliga,2025-26,1197,2026-02-15,58,Wolfsburg,away,22,stable,-0.23945656188143127,-0.08021582895818624,0.024790816962032114,0.23945656188143127,0.08021582895818624,0.024790816962032114,-0.2539643227564379,-1.447048533373374,1.334573150227547,0.1124753831458214,0.25,0.25,2
Bundesliga,2025-26,1198,2026-02-20,52,Mainz,home,23,stable,0.06597430706123336,-0.17229173676262796,-0.061950515723212585,0.06597430706123336,0.17229173676262796,0.061950515723212585,-0.08650166128414805,-2.1208896859799484,0.24427356425872904,1.8766161217211974,0.0,0.0,2
Bundesliga,2025-26,1198,2026-02-20,47,Hamburg,away,22,stable,0.06597430706123336,-0.17229173676262796,-0.061950515723212585,0.06597430706123336,0.17229173676262796,0.061950515723212585,-0.08650166128414805,-2.1208896859799484,0.24427356425872904,1.8766161217211974,0.0,0.0,2
Bundesliga,2025-26,1199,2026-02-21,42,Bayern Munich,home,23,stable,-0.8675236544234965,-0.6511195026724899,-0.4168447950009577,0.8675236544234965,0.6511195026724899,0.4168447950009577,-0.4227401968552069,-5.480971439520332,3.9818268884730785,1.499144551047239,0.5,0.5,2
